canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2|5.1|5.0|3,,^5.2|5.1|5.0,,^5.2|5.1|3,,^5.2|5.1,,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
transaction_id_number,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,TRANSACTION ID NUMBER,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE,3,IND/NAME (CONTRIB/LENDER)
entity_type,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,ENTITY TYPE,4,NAME (Contributor/Lender),4,NAME (Contributor/Lender),4,NAME (Contributor/Lender),4,NAME (Contributor/Lender),4,NAME (Contributor/Lender),4,NAME (Contributor/Lender),4,STREET 1
contributor_organization_name,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,CONTRIBUTOR ORGANIZATION NAME ,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET  1,5,STREET 1,5,STREET 2
contributor_last_name,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,CONTRIBUTOR LAST NAME,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET  2,6,STREET 2,6,CITY
contributor_first_name,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CONTRIBUTOR FIRST NAME,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,CITY,7,STATE
contributor_middle_name,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,CONTRIBUTOR MIDDLE NAME,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,STATE,8,ZIP
contributor_prefix,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,CONTRIBUTOR PREFIX,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ZIP,9,ITEM-PG
contributor_suffix,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,CONTRIBUTOR SUFFIX,10,RPTPGI,10,RPTPGI,10,RPTPGI,10,RPTPGI,10,RPTPGI,10,ITEM-PG,10,INDEMP
